인허가일자,폐업일자,소재지전체주소,도로명전체주소,사업장명,좌표정보(x),좌표정보(y),위생업태명,영업장주변구분명,다중이용업소여부
20090123,20120608,대구광역시 북구 구암동 785번지 화성그랜드상가 309동 101호,"대구광역시 북구 구암로65길 9, 309동 101호 (구암동,화성그랜드상가)",돈치킨(칠곡구암점),341376.4254,272181.6365,통닭(치킨),아파트지역,N
20090123,20110414,대구광역시 북구 동천동 909-7번지 3층,,보리수,340782.7087,272501.7109,호프/통닭,유흥업소밀집지역,N
20090130,20121120,대구광역시 북구 산격동 1321-17번지,대구광역시 북구 대학로 107 (산격동),타임,345401.2813,267196.1599,경양식,학교정화(상대),N
20090226,20141030,대구광역시 북구 검단동 1302-3번지,대구광역시 북구 검단로 214 (검단동),하늘만큼땅만큼,346920.2193,269267.2947,한식,기타,N
20090226,20110523,대구광역시 북구 산격동 1404-19번지 산격2차청구맨션 102동 106호,,안영애해물나라찜마을,344626.1331,266762.2474,한식,아파트지역,N
20090227,20120306,대구광역시 북구 동천동 932-10번지,대구광역시 북구 대천로18길 4-18 (동천동),한방서울왕족발보쌈,340466.8456,271844.6598,한식,주택가주변,N
20090302,20100216,대구광역시 북구 산격동 1309-8번지,,도로시,345272.0097,267138.741,한식,,N
20090305,20141016,대구광역시 북구 학정동 930-1번지,대구광역시 북구 학남로3길 38 (학정동),"또래오래(칠곡3,4지구점)",341380.7133,273541.4877,통닭(치킨),주택가주변,N
20090305,20170224,대구광역시 북구 노원동1가 203번지,대구광역시 북구 오봉로 20 (노원동1가),석향,342320.3687,266577.8542,한식,기타,N
20090210,20170203,대구광역시 북구 읍내동 1357-2번지,"대구광역시 북구 대천로9길 32, 1층 (읍내동)",씨에이취앤비두마리치킨,340337.9751,272130.041,통닭(치킨),주택가주변,N
20090306,20090715,대구광역시 북구 학정동 945-1번지,,돌콩,341269.7432,273322.6721,호프/통닭,주택가주변,N
20090212,20160111,대구광역시 북구 구암동 600-1번지,대구광역시 북구 태암남로 52 (구암동),향돈촌,340178.3007,270818.4387,한식,주택가주변,N
20090213,20100714,대구광역시 북구 읍내동 650-7번지,,피자토비,339741.8724,273004.7144,패스트푸드,주택가주변,N
